,Library,Model,ROC-AUC,PR-AUC,Train Time (s)
3,PYOD,KNN,0.9882664547319324,0.5840716431024876,54.26406645774841
6,PYOD,ABOD,0.9855531037893854,0.4934675290427693,85.83077716827393
0,PYOD,IForest,0.9759049251419283,0.4519030760808732,4.579953670501709
5,PYOD,CBLOF,0.9697628489570183,0.6400595994922489,0.3888380527496338
7,PYOD,MCD,0.9396516582876318,0.7152162316692585,35.813838481903076
2,PYOD,HBOS,0.9341418694279653,0.10905841826215047,0.1468183994293213
4,PYOD,PCA,0.928192887561105,0.3773033578916559,0.11840295791625977
9,PYOD,OCSVM,0.8660988179980915,0.4189051104356385,716.9992871284485
1,PYOD,LOF,0.7020300629798912,0.04852797151687973,68.66757369041443
8,PYOD,LODA,0.6795692989225469,0.08956993641570773,1.7355725765228271
